id,question,answer_pattern_tokens,sample_responses,threshold,image,audio
1,How old are you?,I'm 3.|I'm 4.|I'm 5.|I'm 6.|I'm 7.|I'm 8.|I'm 9.|I'm 10.|I'm 11.|I'm 12.|I'm 13.|I'm 14.|I'm 15.|I'm 16.|I'm|I'm ... years old.|3|4|5|6|7|8|9|10|11|12|13|14|15|16,I am 8.|8 years old.|I am 8 years old.|My age is 8.,0.8,qna/images/03_How_Old_Are_You.png,qna/audio/How_old_are_you.mp3
2,What school do you go to?,I go to|elementary school|school|high school|junior high school,I got to elementary school.|I go to high school.|I go to Montessory school.|I am in junior high school.,0.75,qna/images/16_what_school_do_you_go_to.png,qna/audio/What_school_do_you_go_to_1.mp3
3,What did you do today?,I went to school.|I studied.|I played with my friends.|I played|I watched TV|I listen to music.|I ate|I went shopping.|I went to|I played soccer.|I played basketball.|I played tennis.|I talked on the phone.|nothing|not much,I went to school.|I studied.|I played with my friends|I played.|I watched TV.|I did an activity.|I went outside.|I had lunch.|I had food.|I played tennis.|I played sports.|I did nothing.|Not much.|Nothing.,0.7,qna/images/21_what_did_you_do_today.png,qna/audio/What_did_you_do_today.mp3
4,What do you want to do when you are older?,When I'm older I want to|I want to be|I want to|I want to help people.|I don't know.|I haven't decided yet.,When I'm older I want to be a doctor.|I want to be a doctor.|I want to be a doctor when I'm older.|I want to help people.|I don't know.|I haven't decided yet.|I want to paint.|I want to study more when I'm older.,0.7,qna/images/36_what_do_you_want_to_do_when_you_are_older.png,qna/audio/What_do_you_want_to_do_when_you_are_older.mp3
5,What's your favorite color?,I like|red|green|yellow|blue|purple|orange|black|white|pink,"I like green.|I like green, red and orange.|I love green.|My favorite color is green.|My favorite color is green and blue.",0.8,qna/images/27_What_Is_Your_Favorite_Color.png,qna/audio/Whats_your_favorite_color.mp3
6,What's your name?,My name is|I'm|I am,My name is John.|I am John.|I'm John.,0.8,qna/images/07_Whats_Your_Name.png,qna/audio/Whats_your_name.mp3
7,What do you like?,I like|sports|soccer|baseball|football|baseball|hockey|tennis|swimming|volley ball|table tennis|golf|basket ball|dancing|music|art|TV|movies|video games|friends|sleeping|running|reading|books,"I like sports.|I like tennis.|I like dancing.|I like tennis and dancing|I like tennis, movies and dancing.|I like doing an activity.|I like playing a sport.|I like staying at home.|I like sleeping.|Reading.|I like books.",0.7,qna/images/EOW_08_what_do_you_like_to_do.png,qna/audio/What_do_you_like.mp3
8,What don't you like?,I don't like|mushrooms|green peppers|milk|school|homework,I don't like homework.|I don't like school.|I don't like activities.,0.75,qna/images/1_what_dont_you_like.png,qna/audio/What_dont_you_like.mp3
9,Do you like music?,"Yes|No|Yes, I do.|No I don't|not really|a bit|a little|kind of|Yes. I like music|Yes, I love music.|No, I don't like music|No, I hate music.|I never listen to music.","Yes.|Yes, I like music.|I like music.|Yes, I love music.|No.|Not really.|I don't like music.|I do like music.|I don't listen to music.|I like music a little.",0.8,qna/images/2_do_you_like_music_Y5ow7XX.png,qna/audio/do_you_like_music_VeJvQzp.mp3
10,Where do you live?,I live in|My house is in,I live in New York.|New York.|I am based in New York.|I am currently living in New York|I live in my house.,0.8,qna/images/04_Where_Do_You_Live_1.png,qna/audio/Where_do_you_live.mp3
